Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Story,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide,Cost,Income
Town Creek,2009,R,90.0,https://m.media-amazon.com/images/M/MV5BMTkwNzMzNzA0OF5BMl5BanBnXkFtZTcwNjQ0NDM1Mw@@._V1_.jpg,,['Horror'],5.3,12802,"['United States', 'United Kingdom', 'Romania']",['Joel Schumacher'],['David Kajganich'],"['Henry Cavill', 'Dominic Purcell', 'Emma Booth']",A man and his brother on a mission of revenge become trapped in a harrowing occult experiment dating back to the Third Reich.,,,,"$211,398",,"$211,398"
21 &amp; Over,2013,R,93.0,https://m.media-amazon.com/images/M/MV5BMjI0NTExOTI0N15BMl5BanBnXkFtZTcwMDA0ODE3OA@@._V1_.jpg,https://www.imdb.com/video/vi4080248601/,['Comedy'],5.8,76674,['United States'],"['Jon Lucas', 'Scott Moore']","['Jon Lucas', 'Scott Moore']","['Miles Teller', 'Justin Chon', 'Jonathan Keltz']","The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.","$13,000,000 (estimated)","$25,682,380","$8,754,168","$48,065,672","$13,000,000 (estimated)","$48,065,672"
Stand Up Guys,2013,R,95.0,https://m.media-amazon.com/images/M/MV5BMTgwNjgyOTExMV5BMl5BanBnXkFtZTcwNTIzODA1OA@@._V1_.jpg,https://www.imdb.com/video/vi3368526873/,"['Comedy', 'Crime', 'Thriller']",6.4,57296,['United States'],['Fisher Stevens'],['Noah Haidle'],"['Al Pacino', 'Christopher Walken', 'Alan Arkin']",A pair of aging stickup men try to get the old gang back together for one last hurrah before one of the guys takes his last assignment - to kill his comrade.,"$15,000,000 (estimated)","$3,310,031","$1,486,390","$5,072,654","$15,000,000 (estimated)","$5,072,654"
The Magic of Belle Isle,2012,PG,109.0,https://m.media-amazon.com/images/M/MV5BMTg4NTAwODIxM15BMl5BanBnXkFtZTcwNzg5MTY2Nw@@._V1_.jpg,https://www.imdb.com/video/vi355443481/,"['Comedy', 'Drama']",6.9,19992,['United States'],['Rob Reiner'],"['Guy Thomas', 'Rob Reiner', 'Andrew Scheinman']","['Morgan Freeman', 'Virginia Madsen', 'Madeline Carroll']","Monty Wildhorn, an alcoholic novelist of Westerns, has lost his drive. His nephew pushes him to summer in quiet Belle Isle. He begrudgingly befriends a newly single mom and her 3 girls who help him find the inspiration to write ag...",,"$102,388","$10,367","$123,821",,"$123,821"
Pontypool,2009,Not Rated,93.0,https://m.media-amazon.com/images/M/MV5BNWZkMmNmNGItM2MwNC00YTY2LTk0ZDYtMGM0YjM5Nzk0MjVjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://www.imdb.com/video/vi1386283545/,"['Horror', 'Sci-Fi']",6.5,34649,['Canada'],['Bruce McDonald'],['Tony Burgess'],"['Stephen McHattie', 'Lisa Houle', 'Georgina Reilly']",A radio host interprets the possible outbreak of a deadly virus which infects the small Ontario town he is stationed in.,"$950,000 (estimated)","$3,865","$1,541","$32,118","$950,000 (estimated)","$32,118"
Hysteria,2012,R,100.0,https://m.media-amazon.com/images/M/MV5BMjI0NDExNjcwMV5BMl5BanBnXkFtZTcwOTU4Mzg2Nw@@._V1_.jpg,https://www.imdb.com/video/vi3021120281/,"['Biography', 'Comedy', 'Romance']",6.7,32852,"['United Kingdom', 'France', 'Germany', 'Switzerland', 'Luxembourg']",['Tanya Wexler'],"['Stephen Dyer', 'Jonah Lisa Dyer', 'Howard Gensler']","['Maggie Gyllenhaal', 'Hugh Dancy', 'Jonathan Pryce']",The truth of how Mortimer Granville devised the invention of the first vibrator in the name of medical science.,,"$1,804,139","$35,656","$9,584,256",,"$9,584,256"
To the Wonder,2013,R,112.0,https://m.media-amazon.com/images/M/MV5BZGNjM2I0NzgtOGFlMi00MTRkLThmOWQtNjBkOTk2YTZlYmM4XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg,https://www.imdb.com/video/vi3114313241/,"['Drama', 'Romance']",5.8,29726,['United States'],['Terrence Malick'],['Terrence Malick'],"['Ben Affleck', 'Olga Kurylenko', 'Javier Bardem']","After falling in love in Paris, Marina and Neil come to Oklahoma, where problems arise. Their church&apos;s Spanish-born pastor struggles with his faith, while Neil encounters a woman from his childhood.",,"$587,615","$116,551","$2,801,166",,"$2,801,166"
John Dies at the End,2012,R,99.0,https://m.media-amazon.com/images/M/MV5BMTUyNzIyNzc0MV5BMl5BanBnXkFtZTcwOTM5ODg1OA@@._V1_.jpg,https://www.imdb.com/video/vi643671065/,"['Comedy', 'Fantasy', 'Horror']",6.3,39885,['United States'],['Don Coscarelli'],"['Don Coscarelli', 'David Wong']","['Chase Williamson', 'Rob Mayes', 'Paul Giamatti']","A new street drug that sends its users across time and dimensions has one drawback: some people return no longer human. Can two college drop-outs save humanity from this silent, otherworldly invasion?",,"$141,951","$12,467","$141,951",,"$141,951"
Lesbian Vampire Killers,2009,R,86.0,https://m.media-amazon.com/images/M/MV5BYWQ5ZDM3NjUtMzJhNy00MTFmLThiY2MtNjNhZDdlODE4M2RiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,,"['Action', 'Comedy', 'Fantasy']",5.1,20683,['United Kingdom'],['Phil Claydon'],"['Stewart Williams', 'Paul Hupfield']","['Paul McGann', 'James Corden', 'MyAnna Buring']","Their women having been enslaved by the local pack of lesbian vampires thanks to an ancient curse, the remaining menfolk of a rural town send two hapless young lads out onto the moors as a sacrifice.",,,,"$3,276,702",,"$3,276,702"
The Experiment,2010,R,96.0,https://m.media-amazon.com/images/M/MV5BNTg3YTljNjAtNDE2NC00Mzk3LTkzMzctM2YzODU5OWMyYjY0XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg,https://www.imdb.com/video/vi1743259161/,"['Drama', 'Thriller']",6.4,56644,['United States'],['Paul T. Scheuring'],"['Paul T. Scheuring', 'Mario Giordano', 'Christoph Darnstädt']","['Adrien Brody', 'Cam Gigandet', 'Forest Whitaker']",26 men are chosen to participate in the roles of guards and prisoners in a psychological study that ultimately spirals out of control.,"$21,800,000 (estimated)",,,"$716,580","$21,800,000 (estimated)","$716,580"
Harry Brown,2009,R,103.0,https://m.media-amazon.com/images/M/MV5BMTM5NjE2NzI2Ml5BMl5BanBnXkFtZTcwNDY0ODUyMw@@._V1_.jpg,https://www.imdb.com/video/vi4084073497/,"['Action', 'Crime', 'Drama']",7.2,90364,['United Kingdom'],['Daniel Barber'],['Gary Young'],"['Michael Caine', 'Emily Mortimer', 'David Bradley']",An elderly ex-serviceman and widower looks to avenge his best friend&apos;s murder by doling out his own form of justice.,"$7,300,000 (estimated)","$1,818,681","$173,353","$10,371,451","$7,300,000 (estimated)","$10,371,451"
Ida,2014,PG-13,82.0,https://m.media-amazon.com/images/M/MV5BNjk3NDkzMzMtMGM3MS00YmJkLTkwNmMtZjU5ZWIyNTkzMjJkXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg,https://www.imdb.com/video/vi3537877529/,['Drama'],7.4,59982,"['Poland', 'Denmark', 'France', 'United Kingdom']",['Pawel Pawlikowski'],"['Pawel Pawlikowski', 'Rebecca Lenkiewicz']","['Agata Kulesza', 'Agata Trzebuchowska', 'Dawid Ogrodnik']",A novice nun about to take her vows uncovers a family secret dating back to the German occupation.,,"$3,827,060","$55,438","$11,156,836",,"$11,156,836"
Liberal Arts,2013,PG-13,97.0,https://m.media-amazon.com/images/M/MV5BNDRlN2Y5ZDItYTJjMC00NDNlLWIzM2YtNWMxMzhlNWRjMjIyXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_.jpg,https://www.imdb.com/video/vi384410905/,"['Comedy', 'Drama', 'Romance']",6.7,39791,['United States'],['Josh Radnor'],['Josh Radnor'],"['Josh Radnor', 'Elizabeth Olsen', 'Zac Efron']","When 30-something Jesse returns to his alma mater for a professor&apos;s retirement party, he falls for Zibby, a college student, and is faced with a powerful attraction that springs up between them.","$2,000,000 (estimated)","$327,345","$27,435","$1,150,681","$2,000,000 (estimated)","$1,150,681"
Whatever Works,2009,PG-13,93.0,https://m.media-amazon.com/images/M/MV5BMTU2NTA4NzgyNl5BMl5BanBnXkFtZTcwNzEzMjQ1Mg@@._V1_.jpg,https://www.imdb.com/video/vi3500802585/,"['Comedy', 'Romance']",7.1,76245,"['United States', 'France']",['Woody Allen'],['Woody Allen'],"['Evan Rachel Wood', 'Larry David', 'Henry Cavill']","A middle-aged, misanthropic divorcé from New York City surprisingly enters a fulfilling, Pygmalion-type relationship with a much younger, unsophisticated Southern girl.","$15,000,000 (estimated)","$5,306,706","$266,162","$36,020,534","$15,000,000 (estimated)","$36,020,534"
Hit and Run,2013,R,100.0,https://m.media-amazon.com/images/M/MV5BMjExNTgzMTAzMV5BMl5BanBnXkFtZTcwMDA0ODkxOA@@._V1_.jpg,https://www.imdb.com/video/vi3972309529/,"['Action', 'Adventure', 'Comedy']",6.1,37226,['United States'],"['David Palmer', 'Dax Shepard']",['Dax Shepard'],"['Dax Shepard', 'Kristen Bell', 'Bradley Cooper']",Former getaway driver Charles Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charles&apos; former gang chase them on the road.,"$2,000,000 (estimated)","$13,749,300","$4,526,222","$16,816,647","$2,000,000 (estimated)","$16,816,647"
À l&apos;aventure,2009,Not Rated,104.0,https://m.media-amazon.com/images/M/MV5BNjk1NjcyMjc4N15BMl5BanBnXkFtZTgwMDcyMjcwMzE@._V1_.jpg,https://www.imdb.com/video/vi1306837529/,"['Drama', 'Fantasy', 'Romance']",5.4,2290,['France'],['Jean-Claude Brisseau'],['Jean-Claude Brisseau'],"['Carole Brana', 'Arnaud Binard', 'Nadia Chibani']",A sexually unsatisfied young woman decided to pursue various sexual experiments and scenarios.,,,,"$81,335",,"$81,335"
When in Rome,2010,PG-13,91.0,https://m.media-amazon.com/images/M/MV5BMmViZDQ0OGEtNDJlZS00ZmM0LTk2MTItY2NmNGI4NTliOTg1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,https://www.imdb.com/video/vi4230414873/,"['Comedy', 'Romance']",5.5,63990,['United States'],['Mark Steven Johnson'],"['David Diamond', 'David Weissman']","['Kristen Bell', 'Josh Duhamel', 'Anjelica Huston']","Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.","$55,000,000 (estimated)","$32,680,633","$12,350,041","$43,053,376","$55,000,000 (estimated)","$43,053,376"
W.,2008,PG-13,129.0,https://m.media-amazon.com/images/M/MV5BMTkzMzg3NjM3OV5BMl5BanBnXkFtZTcwNTY1MzUzMw@@._V1_.jpg,https://www.imdb.com/video/vi81592601/,"['Biography', 'Comedy', 'Drama']",6.3,49677,"['United States', 'Australia', 'Hong Kong', 'Switzerland', 'China']",['Oliver Stone'],['Stanley Weiser'],"['Josh Brolin', 'Elizabeth Banks', 'Ioan Gruffudd']",A chronicle of the life and Presidency of George W. Bush.,"$25,100,000 (estimated)","$25,534,493","$10,505,668","$29,560,587","$25,100,000 (estimated)","$29,560,587"
Carriers,2009,12+,85.0,https://m.media-amazon.com/images/M/MV5BMTQwMWVlZTEtZjViNC00MGExLThmODItOTQ2NmIwYTNjZTBlXkEyXkFqcGdeQXVyMTUzOTczNzYx._V1_.jpg,https://www.imdb.com/video/vi2346123801/,"['Action', 'Adventure', 'Drama']",6.0,49257,['United States'],"['David Pastor', 'Àlex Pastor']","['Àlex Pastor', 'David Pastor']","['Chris Pine', 'Piper Perabo', 'Lou Taylor Pucci']","As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.",,"$104,352","$76,857","$5,805,279",,"$5,805,279"
Solomon Kane,2010,R,104.0,https://m.media-amazon.com/images/M/MV5BMTU5NDMwOTkxMV5BMl5BanBnXkFtZTcwMTg5OTM1OA@@._V1_.jpg,https://www.imdb.com/video/vi731555097/,"['Action', 'Adventure', 'Fantasy']",6.1,75629,"['Czech Republic', 'United Kingdom', 'France']",['M.J. Bassett'],"['M.J. Bassett', 'Robert E. Howard']","['James Purefoy', 'Max von Sydow', 'Rachel Hurd-Wood']","A ruthless mercenary renounces violence after learning his soul is bound for hell. When a young girl is kidnapped and her family slain by a sorcerer&apos;s murderous cult, he is forced to fight and seek his redemption slaying evil.","$45,000,000 (estimated)",,,"$19,652,185","$45,000,000 (estimated)","$19,652,185"
The Last Exorcism,2010,PG-13,87.0,https://m.media-amazon.com/images/M/MV5BNDc4Mjk2MjA0NF5BMl5BanBnXkFtZTcwMzMyNjQ3Mw@@._V1_.jpg,https://www.imdb.com/video/vi4275897881/,"['Horror', 'Mystery', 'Thriller']",5.7,51674,"['France', 'United States']",['Daniel Stamm'],"['Huck Botko', 'Andrew Gurland']","['Patrick Fabian', 'Ashley Bell', 'Iris Bahr']",A troubled evangelical minister agrees to let his last exorcism be filmed by a documentary crew.,"$1,800,000 (estimated)","$41,034,350","$20,366,613","$69,432,527","$1,800,000 (estimated)","$69,432,527"
Disconnect,2013,R,115.0,https://m.media-amazon.com/images/M/MV5BMjA2MTEzMDkyOF5BMl5BanBnXkFtZTcwNzc4NTgxOQ@@._V1_.jpg,https://www.imdb.com/video/vi3933317401/,"['Crime', 'Drama', 'Mystery']",7.5,77646,['United States'],['Henry Alex Rubin'],['Andrew Stern'],"['Jason Bateman', 'Jonah Bobo', 'Haley Ramm']",A drama centered on a group of people searching for human connections in today&apos;s wired world.,"$10,000,000 (estimated)","$1,436,900","$124,000","$3,428,048","$10,000,000 (estimated)","$3,428,048"
Feuchtgebiete,2013,Not Rated,109.0,https://m.media-amazon.com/images/M/MV5BNzk0MjkzYjAtMTVlZi00MDgzLWFhOTItZGJmYWI2MGE4NTcyXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_.jpg,https://www.imdb.com/video/vi2458630937/,"['Comedy', 'Drama']",5.8,12233,['Germany'],['David Wnendt'],"['Claus Falkenberg', 'David Wnendt', 'Sabine Pochhammer']","['Carla Juri', 'Christoph Letkowski', 'Marlen Kruse']",The adventures of an eccentric girl who has strange attitudes towards hygiene and sexuality longs for the reunion of her divorced parents.,,"$59,478","$6,488","$10,561,230",,"$10,561,230"
The ABCs of Death,2013,Not Rated,129.0,https://m.media-amazon.com/images/M/MV5BMjIzNTA0OTIxNV5BMl5BanBnXkFtZTcwMzA3MTM2Nw@@._V1_.jpg,https://www.imdb.com/video/vi4236683033/,"['Comedy', 'Horror']",4.7,20166,"['United States', 'New Zealand']","['Kaare Andrews', 'Angela Bettis', 'Hélène Cattet']","['Ant Timpson', 'Nacho Vigalondo', 'Adrian Garcia Bogliano']","['Ingrid Bolsø Berdal', 'Iván González', 'Kyra Zagorsky']",A 26-chapter anthology that showcases death in all its vicious wonder and brutal beauty.,,"$21,832","$10,110","$23,589",,"$23,589"
Yi dai zong shi,2013,PG-13,130.0,https://m.media-amazon.com/images/M/MV5BZTRiM2VmZTctY2Y0Ni00ZWJmLTg3MGUtMDA3ZmVkYWFkNzJhXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_.jpg,https://www.imdb.com/video/vi4109412633/,"['Action', 'Biography', 'Drama']",6.5,36173,"['Hong Kong', 'China']",['Kar-Wai Wong'],"['Kar-Wai Wong', 'Jingzhi Zou', 'Haofeng Xu']","['Tony Leung Chiu-wai', 'Ziyi Zhang', 'Jin Zhang']","The story of martial-arts master Ip Man, the man who trained Bruce Lee.","$38,600,000 (estimated)","$6,594,959","$132,617","$73,933,046","$38,600,000 (estimated)","$73,933,046"
Freier Fall,2013,Not Rated,97.0,https://m.media-amazon.com/images/M/MV5BMTc3MjgwNTEzNV5BMl5BanBnXkFtZTcwNTM5MzY5OQ@@._V1_.jpg,https://www.imdb.com/video/vi1947673/,"['Drama', 'Romance']",7.5,22133,['Germany'],['Stephan Lacant'],"['Stephan Lacant', 'Karsten Dahlem', 'Cooky Ziesche']","['Hanno Koffler', 'Max Riemelt', 'Attila Borlan']",A soon-to-be-father policeman falls for a gay fellow officer and his life starts falling apart.,,,,"$599,721",,"$599,721"
Behind the Candelabra,2013,TV-MA,118.0,https://m.media-amazon.com/images/M/MV5BMTg0OTY2OTM0OF5BMl5BanBnXkFtZTcwMTk4OTQ1OQ@@._V1_.jpg,https://www.imdb.com/video/vi510240281/,"['Biography', 'Drama', 'Music']",7.0,45006,['United States'],['Steven Soderbergh'],"['Richard LaGravenese', 'Scott Thorson', 'Alex Thorleifson']","['Michael Douglas', 'Matt Damon', 'Scott Bakula']",A chronicle of the tempestuous six-year romance between megastar singer Liberace and his young lover Scott Thorson.,"$23,000,000 (estimated)",,,"$13,352,609","$23,000,000 (estimated)","$13,352,609"
The Iron Lady,2012,PG-13,105.0,https://m.media-amazon.com/images/M/MV5BODEzNDUyMDE3NF5BMl5BanBnXkFtZTcwMTgzOTg3Ng@@._V1_.jpg,https://www.imdb.com/video/vi1047305753/,"['Biography', 'Drama']",6.4,112639,"['United Kingdom', 'France']",['Phyllida Lloyd'],['Abi Morgan'],"['Meryl Streep', 'Jim Broadbent', 'Richard E. Grant']","An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.","$13,000,000 (estimated)","$30,017,992","$220,409","$115,890,699","$13,000,000 (estimated)","$115,890,699"
Don 2,2011,Not Rated,148.0,https://m.media-amazon.com/images/M/MV5BMzNiYWYxNWYtZDYzMC00MzA0LTkzY2UtNDAwNDhiYmVjNmEwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,https://www.imdb.com/video/vi2265947673/,"['Action', 'Crime', 'Thriller']",7.1,57072,"['India', 'Germany']",['Farhan Akhtar'],"['Farhan Akhtar', 'Javed Akhtar', 'Salim Khan']","['Shah Rukh Khan', 'Florian Lukas', 'Om Puri']","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.","$16,700,000 (estimated)","$3,680,306","$1,673,921","$6,913,518","$16,700,000 (estimated)","$6,913,518"
Frost/Nixon,2009,R,122.0,https://m.media-amazon.com/images/M/MV5BYTdmMWVmMmEtZTExOS00YzFhLWI3MGUtZDc5MjBhMjNjOWMzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,https://www.imdb.com/video/vi3600351257/,"['Biography', 'Drama', 'History']",7.7,111378,"['United Kingdom', 'France', 'United States']",['Ron Howard'],['Peter Morgan'],"['Frank Langella', 'Michael Sheen', 'Kevin Bacon']",A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,"$25,000,000 (estimated)","$18,622,031","$180,708","$27,426,335","$25,000,000 (estimated)","$27,426,335"
The Apparition,2012,PG-13,83.0,https://m.media-amazon.com/images/M/MV5BMTU5Mjk0Njk1OV5BMl5BanBnXkFtZTcwMTg4MzU4Nw@@._V1_.jpg,https://www.imdb.com/video/vi3558187545/,"['Horror', 'Thriller']",4.1,20511,"['United States', 'Germany']",['Todd Lincoln'],['Todd Lincoln'],"['Ashley Greene', 'Sebastian Stan', 'Tom Felton']",A couple is haunted by a supernatural presence that is unleashed during a college experiment.,"$17,000,000 (estimated)","$4,936,819","$2,841,488","$11,350,665","$17,000,000 (estimated)","$11,350,665"
Women in Trouble,2011,R,92.0,https://m.media-amazon.com/images/M/MV5BMTkyOTEwNjg0M15BMl5BanBnXkFtZTcwNDI4NDA5Mg@@._V1_.jpg,https://www.imdb.com/video/vi4288873753/,"['Comedy', 'Drama']",5.6,6496,['United States'],['Sebastian Gutierrez'],['Sebastian Gutierrez'],"['Carla Gugino', 'Adrianne Palicki', 'Connie Britton']","A serpentine day in the life of ten seemingly desperate women: a porn star, a flight attendant, a psychiatrist, a masseuse, a bartender, a pair of call girls, an actress, a masseuse. All of them with one crucial thing in common. T...",,"$18,000","$12,784","$18,000",,"$18,000"
Hanyo,2010,Not Rated,107.0,https://m.media-amazon.com/images/M/MV5BMzlkNWIwYjEtY2IzZS00MWM5LTk1NzAtMTIyMzUyNjk3OWNiXkEyXkFqcGdeQXVyMTMzODk3NDU0._V1_.jpg,https://www.imdb.com/video/vi4069432089/,"['Drama', 'Thriller']",6.4,12132,['South Korea'],['Im Sang-soo'],"['Kim Ki-young', 'Im Sang-soo']","['Jeon Do-yeon', 'Lee Jung-jae', 'Youn Yuh-jung']",A man&apos;s affair with his family&apos;s housemaid leads to dark consequences.,,"$157,961","$16,670","$15,038,301",,"$15,038,301"
New in Town,2009,PG,97.0,https://m.media-amazon.com/images/M/MV5BMzAxNzU4MDE1Nl5BMl5BanBnXkFtZTcwOTQ0NDcwMg@@._V1_.jpg,https://www.imdb.com/video/vi1554121497/,"['Comedy', 'Romance']",5.7,24547,"['United States', 'Canada']",['Jonas Elmer'],"['Ken Rance', 'C. Jay Cox']","['Renée Zellweger', 'Harry Connick Jr.', 'Siobhan Fallon Hogan']","A Miami, Florida businesswoman adjusts to her new life in a small Minnesota town.","$8,000,000 (estimated)","$16,734,283","$6,741,530","$29,010,817","$8,000,000 (estimated)","$29,010,817"
The Bay,2012,12+,85.0,https://m.media-amazon.com/images/M/MV5BMjQyMDY1YTktNWNjMC00MGNmLWEwMGMtMzIxZjQ1ODQ4MjgxXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_.jpg,https://www.imdb.com/video/vi3637945369/,"['Horror', 'Sci-Fi', 'Thriller']",5.7,29097,['United States'],['Barry Levinson'],"['Michael Wallach', 'Barry Levinson']","['Will Rogers', 'Kristen Connolly', 'Kether Donohue']",Chaos breaks out in a small Maryland town after an ecological disaster occurs.,,"$30,668","$19,747","$1,581,252",,"$1,581,252"
The Lifeguard,2013,R,98.0,https://m.media-amazon.com/images/M/MV5BMjExOTI5MjY3Ml5BMl5BanBnXkFtZTcwMjU2NDk3OQ@@._V1_.jpg,https://www.imdb.com/video/vi1099082009/,"['Drama', 'Romance']",5.6,15118,['United States'],['Liz W. Garcia'],['Liz W. Garcia'],"['Kristen Bell', 'Mamie Gummer', 'Martin Starr']",A former valedictorian quits her reporter job in New York and returns to the place she last felt happy: her childhood home in Connecticut. She gets work as a lifeguard and starts a dangerous relationship with a troubled teenager.,,,,,,
Cropsey,2009,Not Rated,84.0,https://m.media-amazon.com/images/M/MV5BNjMyNTM5NTY1OF5BMl5BanBnXkFtZTcwNTkzNjQ3NA@@._V1_.jpg,https://www.imdb.com/video/vi3559589657/,"['Documentary', 'Crime', 'Horror']",6.3,9003,['United States'],"['Barbara Brancaccio', 'Joshua Zeman']",['Joshua Zeman'],"['Joshua Zeman', 'Barbara Brancaccio', 'Bill Ellis']","Realizing that the urban legend of their youth has actually come true, two filmmakers delve into the mystery surrounding five missing children and the real-life boogeyman linked to their disappearances.",,"$52,476","$6,306","$52,476",,"$52,476"
The Two Faces of January,2014,PG-13,96.0,https://m.media-amazon.com/images/M/MV5BZjZlZDdiNWItMWZhYi00ODA1LThkNDctODM2N2Y0ZjBmNWU5XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_.jpg,https://www.imdb.com/video/vi2448730905/,"['Crime', 'Mystery', 'Romance']",6.2,33209,"['United Kingdom', 'France', 'United States']",['Hossein Amini'],"['Hossein Amini', 'Patricia Highsmith']","['Viggo Mortensen', 'Kirsten Dunst', 'Oscar Isaac']","A thriller centered on a con artist, his wife, and a stranger who flee Athens after one of them is caught up in the death of a private detective.","$31,000,000 (estimated)","$507,463","$43,116","$13,551,951","$31,000,000 (estimated)","$13,551,951"
Texas Killing Fields,2011,R,105.0,https://m.media-amazon.com/images/M/MV5BMjMxMDQzNjkwMF5BMl5BanBnXkFtZTcwMDM0MzU0Ng@@._V1_.jpg,https://www.imdb.com/video/vi152149017/,"['Crime', 'Drama', 'History']",5.7,21595,['United States'],['Ami Canaan Mann'],['Don Ferrarone'],"['Sam Worthington', 'Jeffrey Dean Morgan', 'Chloë Grace Moretz']","In the Texas bayous, a local homicide detective teams up with a cop from New York City to investigate a series of unsolved murders.",,"$45,469","$8,772","$1,271,319",,"$1,271,319"
Wer,2014,R,93.0,https://m.media-amazon.com/images/M/MV5BNDM2MDYxODE2Ml5BMl5BanBnXkFtZTgwMjcxMjc3MTE@._V1_.jpg,https://www.imdb.com/video/vi3881217049/,"['Action', 'Horror', 'Mystery']",5.9,9461,['United States'],['William Brent Bell'],"['William Brent Bell', 'Matthew Peterman']","['A.J. Cook', 'Brian Scott O&apos;Connor', 'Sebastian Roché']","A defense attorney begins to suspect that there might be more to her client, who is charged with the murders of a vacationing family, than meets the eye.","$2,500,000 (estimated)",,,"$860,940","$2,500,000 (estimated)","$860,940"
Gimme Shelter,2013,PG-13,120.0,https://m.media-amazon.com/images/M/MV5BMTg0MzMyMjYxMV5BMl5BanBnXkFtZTgwNDYzMTc2MDE@._V1_.jpg,https://www.imdb.com/video/vi3051338265/,['Drama'],6.4,9278,['United States'],['Ron Krauss'],['Ron Krauss'],"['Vanessa Hudgens', 'Rosario Dawson', 'Brendan Fraser']","A pregnant teenager flees her abusive mother in search of her father, only to be rejected by her stepmother and forced to survive on the streets until a compassionate stranger offers a hopeful alternative.","$3,200,000 (estimated)","$1,359,910","$689,070","$1,362,018","$3,200,000 (estimated)","$1,362,018"
Headhunter,2009,,108.0,https://m.media-amazon.com/images/M/MV5BODcxNDk2NjExMl5BMl5BanBnXkFtZTgwOTg5NTAzMTE@._V1_.jpg,,['Thriller'],6.6,2338,['Denmark'],['Rumle Hammerich'],"['Rumle Hammerich', 'Åke Sandgren']","['Lars Mikkelsen', 'Charlotte Munck', 'Burkhard Forstreuter']","Martin Vinge, (35), former notorious journalist, now successful headhunter with a complicated personal life, is in all confidentiality contacted by 85 year-old N.F. Sieger, S.E.O. of Denmark&apos;s largest shipping company and oil empi...",,,,"$2,258,895",,"$2,258,895"
Arctic Blast,2010,,92.0,https://m.media-amazon.com/images/M/MV5BMTMwNTEyMTE1NV5BMl5BanBnXkFtZTcwNjI1NDA3NA@@._V1_.jpg,https://www.imdb.com/video/vi2044697881/,"['Action', 'Adventure', 'Drama']",3.9,3974,"['Australia', 'Canada']",['Brian Trenchard-Smith'],['Jason Bourque'],"['Michael Shanks', 'Alexandra Davies', 'Saskia Hampele']","When a solar eclipse sends a colossal blast of super chilled air towards the earth, it then sets off a catastrophic chain of events that threatens to engulf the world in ice and begin a new Ice Age.","A$5,000,000 (estimated)",,,,"A$5,000,000 (estimated)",
The Sessions,2013,R,95.0,https://m.media-amazon.com/images/M/MV5BMTQzNTU4NjMzNV5BMl5BanBnXkFtZTcwNDQzMTY1OA@@._V1_.jpg,https://www.imdb.com/video/vi1790485785/,"['Biography', 'Comedy', 'Drama']",7.2,43724,['United States'],['Ben Lewin'],"['Ben Lewin', 'Mark O&apos;Brien']","['John Hawkes', 'Helen Hunt', 'William H. Macy']",A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest.,"$1,000,000 (estimated)","$6,002,451","$113,467","$10,656,155","$1,000,000 (estimated)","$10,656,155"
